video_id,comments
3lBNPiXou2s,[]
dMBXCxFXeOE,[]
wc0aBaU4sX8,[]
u2NCfn9PdbQ,[]
bJ9pKUzL4y8,[]
hwou37hbpcE,[]
nKGJTdXXZ5I,[]
P4TjwDBXtvU,[]
D7bu_OeIjNE,[]
X9Oa88QAl2U,[]
l6Ix4i_8O68,[]
oDmCMBvFvx8,[]
RPMEJmfmVT0,[]
JFRcF0r5x2U,[]
kQsBdZxa9J0,[]
bZeDFvGWC7k,[]
xGSeq1nFpjA,[]
HuZt31QXthw,[]
a1aF7zBZ2Fs,[]
aD4udz8c_ik,[]
ZwrMu4hB5Q8,[]
kDJH1TgqSfA,[]
xazbjN4IrcI,[]
aAQe4NxXE3o,[]
RHL76h7RNAY,[]
VSZFyq2Jzzc,[]
x5n4ascg-mw,[]
cO_KYRlE7v0,[]
9q5XWzIWpT4,[]
BGR2KehL4j4,[]
kgnZLsAEwns,[]
F-47QkJ3m-8,[]
-N3_fqwQgH0,[]
dfxnRf9EalA,[]
GZr_hKlua3E,[]
NYafBAV9CYM,[]
qqTKLV139sg,[]
3PZBk7pzqKw,[]
zreKTpXMvZk,[]
GFavzpZw4M8,[]
wEKAxH-012Q,[]
n3EZBWiMcMc,[]
JepTxTXge34,[]
Sh7bLrtWVK8,[]
lfOZxYlahyc,[]
UC0MStddwEg,[]
m7UQcoiDxCE,[]
yG9aTAsBED0,[]
G5PYWLtiVrE,[]
TD6RxFj4uFI,[]
cnS5GTQTnCQ,[]
h33frFvfzi4,[]
z9s_bDrm2AI,[]
7D6HituDQ5g,[]
gqSwP5B1-vk,[]
l0dRnd1rvvU,[]
aTvcICwiB7Q,[]
svQXUo7KGeE,[]
_4ubKFdo1BY,[]
wCEcR-0JYEA,[]
aCZvGZwmChc,[]
QJMEPpNmfxI,[]
R0HhvW8t9gM,[]
4GqwCFH-Q18,[]
3IRM_V0HoVI,[]
udAAS-4QR5A,[]
usegKMLnmL0,[]
xgj4Ze6P6d4,[]
RE01mkg0Yqw,[]
m2_uvolWDUA,[]
dZDfCR8ppT0,[]
OWgBJF2FuEo,[]
5GQj5ahX8JI,[]
fHmuoOCPpIk,[]
_f75TwaVmxI,[]
HKfqYDY5cjU,[]
vNvhL_FiMiw,[]
dgvbVWrTVeU,[]
D2Dv3q1HwEY,[]
HABp6yIW2vc,[]
C9V-xliJnaQ,[]
LSgNu20TjgE,[]
9p_gsFZ4YW0,[]
-J_R4GJY_yE,[]
yjLjBWEfaiw,[]
18tB7XGkago,[]
iNxImmfEdyI,[]
i_cceGGYkEU,[]
Pfw9vthhyKM,[]
P74IJuNxjMA,[]
LVfSbs0H-zQ,[]
YOaTYVydeH4,[]
duX57XPjJJg,[]
2t8cIwwn0Dw,[]
Sif_U36DN8k,[]
HFSTIIYoAsw,[]
1RosddUwkt0,[]
wGvyDYDK_wQ,[]
8wjm06SXrMU,[]
NSnx6t6eul0,[]
gmyR9vylzQo,[]
ptbs_jOe2bc,[]
HSAZWfCP0qM,[]
gdoShUJvgGY,[]
Y7e0v2D1r60,[]
3R0Qg1KesiQ,[]
aigy2HrDxeI,[]
azUEk_u_zFg,[]
9dfl-pP2pwQ,[]
bFUTuJMLm5I,[]
ysDian6peZY,[]
EeNm07vZX2k,[]
otBAmiJ9hQ8,[]
aajeby-O_c0,[]
Wa7jIUG24e4,[]
kDXhBtN1hdo,[]
ENCDQdg09Nc,[]
00wyKJnNMKo,[]
NXd277E-ITA,[]
xWD2Mc9HCkQ,[]
qrqydayouJk,[]
0Eryp8UjAA8,[]
z1R5OoNsIEQ,[]
cMLj0d0buDA,[]
2hh8Z-KM4Ac,[]
N1nhN7AhQOU,[]
kqXsl1B5YsE,[]
3N8MdyMqy4U,[]
hcaf8Uoy7Ag,[]
6J5FBnI3o8E,[]
dK0FrOD9V7Q,[]
lkZw3MTkVDE,[]
a4lTO_esZM4,[]
PkGoAHC1AQU,[]
zF3BmeM2QR8,[]
ssiOVPQUXtk,[]
kyE-6BWuIP4,[]
POaySg_VScg,[]
phhiEhY7Ado,[]
Rs3DIj8JMU4,[]
LEvUD2GPGYY,[]
555kwaWKpis,[]
gZi2ht4Dsn0,[]
u5C9dJ3aBQg,[]
LDAjPJBj6Oo,[]
DpglAUjyhr8,[]
HwMV0c3j3k4,[]
bTFclgwVFaM,[]
lo5BYdJgZcM,[]
cJv8Tag7Q1M,[]
zBA4Pg4mkYM,[]
Q0D0Hr2Fs_s,[]
Mn631pGATC8,[]
ITFD-xzipJ0,[]
K-M33-mNiWQ,[]
haAaih5dpmk,[]
aVKuT8p2Bdw,[]
_66Tn8v__fw,[]
UnBgMxpF_UQ,[]
42q_2YZVDlU,[]
8G5V13kENxU,[]
YjmDulqB7v8,[]
cf22BL02g1Y,[]
coVa9AFmKWM,[]
gvyoaQfuvVs,[]
n-8R2KobYP8,[]
rlCopVv1PDQ,[]
My55wtKX24g,[]
JzT8xzosyS8,[]
ZHbXhtm5vLs,[]
_dYi8qIA9Kw,[]
ScHkhFKLCPY,[]
NqFuZOB3Ftg,[]
iaWu0NJSaV0,[]
cdfFMXgLKr8,[]
MFX0QbKBDJk,[]
WJ-BhzTPmN8,[]
rD8E8L_D0Uw,[]
8whsOzAdcas,[]
9P4YiSRWsLc,[]
k6yiA5skm_E,[]
kQIjXrLtTSg,[]
sQ9ePCUL_9c,[]
6roieTcaaMw,[]
JjlSdMfUL_M,[]
